parameters,train acc, test acc, architecture
220k,84.8,77.6,LSTM
3.0m,83.9,80.6,LSTM
15m,98.8,81.4,GRU
3.5m,83.3,82.1,CNN
3.7m,89.2,83.2,BiLSTM
2.0m,86.4,83.3,BiLSTM
4.0m,82.5,83.4,Tree-LSTM
2.8m,84.5,84.2,LSTM
40m,85.6,84.5,BiLSTM
3.0m,86.2,84.6,BiLSTM
12m,90.5,85.5,BiLSTM
2.4m,91.1,85.6,CNN
2.9m,91.2,85.6,Tree-LSTM
9.7m,89.8,85.7,BiLSTM
3.7m,87.3,85.9,LSTM
10m,93.1,86,Tree-LSTM
29m,91,86,BiLSTM
3.1m,92.6,86.3,CNN
4.7m,89.6,86.3,CNN
5.6m,91.4,86.5,BiLSTM
22m,89.9,86.6,BiLSTM
65m,94.9,86.6,BiLSTM
9m,91.6,86.7,BiLSTM
2.1m,87.3,86.8,CNN
7.0m,89,87.4,CNN
250k,85.3,83.5,LSTM
320k,85.2,84.6,LSTM
2.8m,85.9,85,BiLSTM
190k,86.7,85.1,LSTM
1.9m,92,86.1,LSTM
1.7m,87.3,85.7,LSTM
3.4m,88.5,86.3,LSTM
380k,89.5,86.3,CNN
580k,90.5,86.8,CNN
3.2m,88.5,87.3,Tree-LSTM
1.6m,90.9,87.5,BiLSTM
2.0m,90.7,87.5,LSTM
4.4m,91.2,88,CNN
22m,88.5,88.1,BiLSTM
14m,94.5,88.3,GRU
3.5m,93.3,88.5,GRU
7.5m,94.1,88.5,BiLSTM
4.7m,89.8,88.5,CNN
4.3m,94.1,88.6,BiLSTM
7.7m,93.5,88.6,Tree-LSTM
8.0m,91.6,88.7,BiLSTM
9.2m,95.4,88.8,BiLSTM
6.4m,93.2,88.8,Ensemble
17m,92.3,88.9,Ensemble
6.7m,93.1,88.9,BiLSTM
6.1m,89.1,89.1,BiLSTM
43m,93.6,89.1,Ensemble
45m,94.8,89.3,Ensemble
40m,92.1,89.3,Ensemble
17.5m,92.5,89.3,Ensemble
58m,95.5,89.4,Ensemble
79m,96.1,89.6,Ensemble
53.3m,95,90.1,Ensemble
